section,slug,title,date,word_count,has_images,originality,imagery,philosophical_depth,structure,sentence_control,voice,pm_share,audience,relevance,action,notes
newsletter,the-lens-edition-1-what-is-product-management,The Lens: Edition 1 — What is Product Management?,2020-10-19,303,N,6,5,5,7,7,7,Y,P,4,Keep,Good intro; InVideo support example is concrete
newsletter,the-lens-edition-10-risk-reduction-working-with-engineering,The Lens: Edition 10 — Risk Reduction & Working with Engineering,2021-01-26,300,N,7,6,8,8,8,8,Y,P,5,Keep,Engineers as partners framing; download-your-brain metaphor is vivid
newsletter,the-lens-edition-11-positioning,The Lens: Edition 11 — Positioning,2021-02-17,293,N,8,9,7,8,8,8,Y,P,5,Keep,Best imagery in the series; Hot Cheetos + KitKat + muffin-vs-cake examples are excellent
newsletter,the-lens-edition-2-solving-ambiguous-problems-metrics,The Lens: Edition 2 — Solving Ambiguous Problems & Metrics,2020-11-24,336,N,7,6,7,7,7,7,Y,P,5,Keep,Context-as-leverage quote is memorable
newsletter,the-lens-edition-3-pm-leadership-personal-vision-ephemeral-content,"The Lens: Edition 3 — PM Leadership, Personal Vision, Ephemeral Content",2020-12-01,298,N,6,5,7,6,7,7,Y,P,3,Revise,Fleets section is dated (Twitter deprecated Fleets in 2021)
newsletter,the-lens-edition-4-compassionate-leadership-strategy,The Lens: Edition 4 — Compassionate Leadership & Strategy,2020-12-15,272,N,8,8,8,7,8,8,Y,P,5,Keep,Grinch/Colonel story are memorable; Porter definition well applied
newsletter,the-lens-edition-5-okrs,The Lens: Edition 5 — OKRs,2020-12-22,287,N,6,5,7,8,8,7,Y,P,5,Keep,Cleanest structure in the series; output vs outcome distinction is sharp
newsletter,the-lens-edition-6-books-i-read-in-2020,The Lens: Edition 6 — Books I Read in 2020,2020-12-29,278,N,5,4,4,6,7,8,Y,P,4,Keep,Most personal and authentic edition; still useful as a reading list
newsletter,the-lens-edition-7-how-to-do-product-prioritization,The Lens: Edition 7 — How to Do Product Prioritization,2021-01-05,316,N,7,7,8,8,8,7,Y,P,5,Keep,Funny Girl and Netflix examples make abstract concepts concrete; best PM piece
newsletter,the-lens-edition-8-knowing-your-users-types-of-pms,The Lens: Edition 8 — Knowing Your Users & Types of PMs,2021-01-12,390,N,7,7,7,7,7,7,Y,P,5,Keep,Starbucks Strategy / one-person focus tip is actionable
newsletter,the-lens-edition-9-preventing-problems-tiers-of-engagement,The Lens: Edition 9 — Preventing Problems & Tiers of Engagement,2021-01-19,245,N,8,6,8,7,8,7,Y,P,5,Keep,Preventable Problem Paradox is a strong original concept
blog,20-years-of-ux-articles-on-nngroup,20 Years of UX articles on NNGroup,2018-08-06,2,N,,,,,,,,,,,
blog,50-reasons-why-we-cannot-change,50 reasons why we cannot change,2018-08-03,278,N,,,,,,,,,,,
blog,66,Contrast #52frames,2018-07-24,0,N,,,,,,,,,,,
blog,about-2,About,2018-07-25,149,N,,,,,,,,,,,
blog,alexa-shopping,Alexa - Shopping ?,2018-08-22,363,N,,,,,,,,,,,
blog,bad-technology,Bad technology,2018-08-03,44,N,,,,,,,,,,,
blog,coffee-drinking-connected-to-lower-risk-of-death-study-finds,"Coffee drinking connected to lower risk of death, study finds",2018-07-25,20,N,,,,,,,,,,,
blog,coronavirus-resources,Coronavirus Resources,2020-03-17,185,N,,,,,,,,,,,
blog,getting-better-by-being-wrong,Getting better by being wrong,2018-09-05,869,N,,,,,,,,,,,
blog,hbr-article-on-leadership,HBR article on leadership,2018-07-25,0,N,,,,,,,,,,,
blog,how-microsoft-fixed-the-worst-thing-about-product-packaging,How Microsoft fixed the worst thing about product packaging,2018-07-25,2,N,,,,,,,,,,,
blog,passwords,Passwords,2018-08-21,109,N,,,,,,,,,,,
blog,privacy-policy,Privacy Policy,2018-07-19,635,N,,,,,,,,,,,
blog,referrals-recommendation,Referrals/Recommendation,2020-12-21,0,N,,,,,,,,,,,
blog,two-nice-refreshers-i-read-today,Two nice refreshers I read today,2018-07-25,21,N,,,,,,,,,,,
blog,watching-4,Watching,2018-09-02,15,N,,,,,,,,,,,
blog,william-c-taylor-simple-principles-for-making-a-big-difference,William C Taylor - Simple principles for making a big difference,2018-08-03,390,N,,,,,,,,,,,
notes,113,Untitled,2018-07-26,0,N,,,,,,,,,,,
notes,115,Untitled,2018-07-26,21,N,,,,,,,,,,,
notes,117,Untitled,2018-07-26,16,N,,,,,,,,,,,
notes,138,Untitled,2018-07-27,0,N,,,,,,,,,,,
